ARTICLE,DESCRIPTION,STOCK NUMBER,UNIT OF MEASURE,UNIT VALUE,BALANCE CARD,ON HAND COUNT,SHORTAGE/OVERAGE,REMARKS
Audio Visual,"TV Sony 32"" LED (SN: 5545578) ",CES-SPED-AV-001,Piece," 13,299.00 ",1,,,Serviceable 
Audio Visual,DVD Player Pioneer (SN: NGTK060712LL),CES-SPED-AV-002,Piece," 3,700.00 ",1,,,Serviceable 
Audio Visual,SPEAKER Xenon Speaker,CES-SPED-AV-003,Piece," 2,800.00 ",1,,,Serviceable 
Audio Visual,Sony Audio System,CES-SPED-AV-004,Piece," 4,700.00 ",1,,,Serviceable 
Other properties,Plastic Box (Big),CES-SPED-OP-001,Piece, 700.00 ,2,,,Serviceable 
FURNITURE AND FURNISHING,Teacher's Table (Wooden),CES-SPED-FF-001,Piece," 3,000.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,Teacher's Chair (Wooden),CES-SPED-FF-002,Piece," 1,000.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,Student's Arm Chair (Wooden),CES-SPED-FF-003,Piece, 500.00 ,22,,,Serviceable 
FURNITURE AND FURNISHING,BlackBoard,CES-SPED-FF-004,Piece," 3,500.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,Mirror (Long),CES-SPED-FF-005,Piece," 4,000.00 ",2,,,Serviceable 
FURNITURE AND FURNISHING,Mirror (Small),CES-SPED-FF-006,Piece, 300.00 ,2,,,Serviceable 
FURNITURE AND FURNISHING,Computer Table (Wooden),CES-SPED-FF-007,Piece," 1,300.00 ",1,,,Serviceable 
VENTILATION,ORBIT FAN (Garant),CES-SPED-VEN-001,Piece," 1,500.00 ",2,,,Serviceable 
OFFICE EQUIPMENT AND ACCESSORIES AND SUPPLIES,Book Organizer,CES-SPED-OE-001,Piece, 250.00 ,5,,,Serviceable 
OFFICE EQUIPMENT AND ACCESSORIES AND SUPPLIES,Wooden,CES-SPED-OE-002,Set," 1,000.00 ",1,,,Serviceable 
OFFICE EQUIPMENT AND ACCESSORIES AND SUPPLIES,Wall Clock,CES-SPED-OE-003,Piece, 500.00 ,1,,,Serviceable 
OFFICE EQUIPMENT AND ACCESSORIES AND SUPPLIES,Small box,CES-SPED-OE-003,Piece," 1,500.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,White board,CES-SPED-FF-008,Piece," 3,500.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,Wooden,CES-SPED-FF-009,Piece, 800.00 ,1,,,Serviceable 
FURNITURE AND FURNISHING,Bulletin Board,CES-SPED-FF-0010,Piece, 300.00 ,3,,,Serviceable 
FURNITURE AND FURNISHING,Wooden,CES-SPED-FF-0011,Piece," 3,000.00 ",1,,,Serviceable 
FURNITURE AND FURNISHING,Wooden,CES-SPED-FF-0012,Piece, 500.00 ,1,,,Serviceable 
FURNITURE AND FURNISHING,Wooden,CES-SPED-FF-0013,Piece," 3,700.00 ",1,,,Serviceable 
CLEANING EQUIPMENT,Trash can Black,CES -SPED-CE-001,Piece, 150.00 ,1,,,Serviceable 
VENTILATION,Orbit fan (Astron),CES-SPED-VEN-002,Piece, 800.00 ,1,,,Unserviceable
Machinery,Video HDMI M. I.4,CES-SPED-Ma-001,Piece, 700.00 ,1,,,Serviceable 
Machinery,Universal Computer AVR,CES-SPED-Ma-002,Piece, 800.00 ,1,,,Serviceable 
