Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks
DO,Marikina City,Machinery and Equipment,Communication Equipment,1060507000,5 Ghz Subscriber Module,Triton Communiction Inc.,,6065FN7917,7 Mbps,07-0019005,pc,Operational and in good condition,SEF,"47,214.00",6/30/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Lego Team Challenge Set,Felta Multimedia,#9794,,,07-0019670,pc,Operational and in good condition,SEF,"35,000.00",11/12/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Lego Team Challenge Set,Felta Multimedia,#9794,,,07-0019671,pc,Operational and in good condition,SEF,"35,000.00",11/12/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Lego Team Challenge Set,Felta Multimedia,#9794,,,07-0019672,pc,Operational and in good condition,SEF,"35,000.00",11/12/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Lego Team Challenge Set,Felta Multimedia,#9794,,,07-0019673,pc,Operational and in good condition,SEF,"35,000.00",11/12/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Lego Mindstorms Education Base Set,Felta Multimedia,#9797,,,07-0019674,pc,Operational and in good condition,SEF,"38,500.00",11/12/2007,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,HP Laptop,Keysys,CQ40-551TU,CND9394JLJ,"Intel Dual Core T4300, 2.1 Ghz",10-0027366,pc,Operational and in good condition,SEF,"31,600.00",1/15/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer,Audio 4 Design N Technology Cor,,,"Intel Dual Core 2.1 Ghz, Intel DG41RQ Motherboard, 1 Gb Ram, AOC 16' LCD Wide Screen",10-0028026,pc,Operational and in good condition,SEF,"40,000.00",5/26/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Pioneer DVD/USB Player,Audio 4 Design N Technology Cor,,JAKD153503LL,,10-0028224,pc,Operational and in good condition,SEF,"41,000.00",5/26/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Room Airconditioner,Audio 4 Design N Technology Cor,,1.02E+12,"2.5 Hp, Window Type, Manual w/o Timer",10-0028296,pc,Operational and in good condition,SEF,"23,000.00",5/26/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Room Airconditioner,Audio 4 Design N Technology Cor,,1.02E+12,"2.5 Hp, Window Type, Manual w/o Timer",10-0028297,pc,Operational and in good condition,SEF,"23,000.00",5/26/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,LCD Multimedia Projector,Sanyo,,60369833,,10-0028361,pc,Operational and in good condition,SEF,"35,513.39",5/26/2010,5,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,"Human Anatomy, Torso, big",,,,,10-0032330,pc,Operational and in good condition,SEF,"79,000.00",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Human Heart Model,,,,,10-0032331,pc,Operational and in good condition,SEF,"19,250.00",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Human Skeleton Model,,,,,10-0032332,pc,Operational and in good condition,SEF,"109,862.50",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032768,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032769,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032770,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032771,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032772,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Plaque Models of Rocks and Minerals,,,,,10-0032773,pc,Operational and in good condition,SEF,"20,502.85",12/30/2010,10,Janet S. Amurao,,,,
DO,Marikina City,Machinery and Equipment,Technical and Scientific Equipment,1060514000,Land Form System,,,,,10-0032859,pc,Operational and in good condition,SEF,"55,200.00",12/30/2010,10,Janet S. Amurao,,,,
