Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Supplier,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks,Center Manager,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007671,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47418/47419,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007669,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47420/47421,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A005921,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47423/47446,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007652,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47424/47425,Unit ,Operational but needs repair,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007648,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47426/47427,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A005901,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47428/47429,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A004424,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47430/47431,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11AA007666,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47432/47433,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A007644,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47434/47435,Unit ,Operational and in good condition,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Desktop Computer/Monitor,Keysys Inc.,N/A,FYDE11A004436,Intel Core i3-3240 3.4 ghz w/ 18.5 LED monitor,47436/47437,Unit ,Operational but needs repair,Asset is Owned by LGU," 18,980.00 ",7/15/2016,3,Gemo D. Parajas,Barangka NHS,CSS,202,,Mark Sindayen,,,,
