Article,Description,Stock Number,Unit of Mesure,Unit Value,Balance Per Card,On Hand Per Count,Shortage/Overage,Remarks
Electric Fan,Wall Mounted (standard),Soc-3-221-3,pc.,700,1,,,
Electric Fan,Wall Mounted (asahi),Soc-3-221-4,pc.,600,1,,,
Furniture & Fixture,Teacher's Table ,Soc-3-222-9-19,pc.,1200,12,12,14400,
Furniture & Fixture,ordinary chair (green plastic),Soc-3-222-23,pc.,300,2,,,
Furniture & Fixture,chair ( cream),Soc-3-222-25,pc.,300,1,,,
Furniture & Fixture,ordinary chair (white plastic),,pc.,300,5,,,
furniture & Fixture,ordinary chair (stool),Soc-3-222-26,pc.,200,1,,,
Audio Visual,TV set (Sanyo),Soc-3-222-29,,5000,1,,,
Electric Fan,ceiling fan,Soc-3-221-30,pc.,1200,1,,,
Electric Fan,,Soc-3-221-31,pc.,1000,1,,,
Electric Fan,Wall Mounted (standard),Soc-3-221-32,pc.,,1,,,
Audio,Karaoke (radio),Soc-3-221-33,pc.,1500,1,,,
,Epson L360,Soc-3-221-34,pc.,7000,1,,,
Furniture & Fixture,Wooden Chair w/ steel,Soc-3-221-35,pc.,400,1,,,
