Office Type,Regional Office/ Division Office,Asset Classification,Asset Sub Class,UACS Object Code,Asset Item,Manufacturer,Model,Serial Number,Specification,Property Number,Unit of Measure,Current Condition,Source of Fund,Cost of Acquisition,Date of Acquisition,Estimated Total Life Years,Name of Accountable Officer,Asset Location,Service Center,Room Number,Remarks
DO,Marikina City,Machinery and Equipment,Office Equipment,1060502000,Digital Copier,Philcopy Corporation,Kyocera,M5Q00525244,Kyocera  FS-6525MFP,55997,,Not working but repairable,Donated by LGU,"49,888.00",8/27/2015,5,Jessalee Gonzales,Barangka NHS,Salungat,205,SEF
DO,Marikina City,Machinery and Equipment,Office Equipment,1060502000,Digital Copier,Philcopy Corporation,Kyocera,ESY109145340,Kyocera Ecosys M2540 Printer/copier/scanner,73019,,Operational and in good condition,Donated by LGU,"56,500.00",6/26/2019,5,Serafin Raytan,Barangka NHS,Principal's office,105,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A007671,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47418/47419,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A007669,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47420/47421,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A005921,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47422/47423,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Bernie Rinon,Barangka NHS,Principal's office,105,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A007652,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47424/47425,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A007648,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47426/47427,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A005901,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47428/47429,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A004424,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47430/47431,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11AA007666,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47432/47433,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A007644,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47434/47435,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Serafin Raytan,Barangka NHS,Principal's office,105,
DO,Marikina City,Machinery and Equipment,Information and Communication Technology Equipment,1060503000,Deskstop Computers,Keysys Inc.,Asus,FYDE11A004436,Intel Core i3-3240 3.4 ghz w/ 18.5 Led monitor,47436/47437,,Operational and in good condition,Donated by LGU,"18,980.00",7/15/2016,5,Mark Sindayen,Barangka NHS,CSS,202,
